player_name,episode,map_code,celda_250,tic,pos_x,pos_y,pos_z,angulo,momentum_x,momentum_y,momentum_z,fov,salud,armadura,municion
Juan,1,E1M2,"(-4,-5)",40256,-900,-1189,-183,177.86,-6,-1,0,90,200,200,400
Juan,1,E1M2,"(-5,2)",40261,-1080,672,-200,12.64,4,0,0,90,192,200,150
Juan,1,E1M2,"(-5,2)",40296,-1138,696,-200,5.63,4,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40299,-1008,-1125,-183,201.53,-4,-1,0,90,200,200,400
Juan,1,E1M2,"(-5,3)",40331,-1148,781,-200,356.86,5,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40334,-1027,-1121,-183,228.78,-1,-3,0,90,200,200,400
Juan,1,E1M2,"(-5,3)",40366,-1179,802,-200,353.56,3,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40369,-1042,-1105,-183,245.01,-1,-3,0,90,200,200,400
Juan,1,E1M2,"(-6,2)",40404,-1302,717,-200,347.98,4,-1,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40404,-1042,-1105,-183,254.41,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-6,2)",40439,-1340,709,-200,351.93,2,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40439,-1042,-1105,-183,258.04,0,-5,0,90,200,200,400
Juan,1,E1M2,"(-6,2)",40474,-1328,735,-200,353.31,3,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40474,-1042,-1105,-183,260.34,0,-6,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",40509,-1320,823,-200,352.08,4,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",40509,-1042,-1105,-183,258.22,0,-5,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",40544,-1275,828,-200,349.38,4,-2,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40547,-1042,-1105,-183,263.31,0,-4,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",40579,-1344,782,-200,348.15,4,-1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40582,-1042,-1105,-183,263.93,0,-3,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",40614,-1323,842,-200,345.58,4,-1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40625,-1034,-1110,-183,262.13,-2,-4,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",40649,-1328,844,-200,340.88,5,-1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40660,-1120,-1129,-183,266.45,-3,-5,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",40684,-1281,979,-200,343.93,4,-3,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40712,-1144,-1132,-183,274.95,1,-5,0,90,200,200,400
Juan,1,E1M2,"(-6,4)",40719,-1279,1025,-200,338.43,4,-3,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40747,-1144,-1132,-183,276.4,0,-4,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",40754,-1293,1062,-200,328.72,3,-2,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40782,-1144,-1132,-183,284.06,0,-3,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",40789,-1322,1066,-200,325.34,4,-1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40817,-1147,-1140,-183,291.76,1,-4,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",40824,-1316,1072,-200,324.39,1,-3,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40852,-1166,-1133,-183,291.23,1,-4,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",40864,-1302,1073,-200,347.48,1,-1,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40887,-1165,-1124,-183,295.9,1,-4,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",40899,-1254,1053,-200,358.69,4,0,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40922,-1152,-1121,-183,298.8,1,-2,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",40934,-1300,1061,-200,8.65,4,0,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40957,-1143,-1139,-183,296.1,2,-4,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",40969,-1286,1105,-200,18.22,2,2,0,90,192,200,160
Juan,1,E1M2,"(-5,-5)",40992,-1214,-1139,-183,297.27,3,-5,0,90,200,200,399
Juan,1,E1M2,"(-6,4)",41004,-1306,1109,-200,14.04,4,1,0,90,192,200,160
